the.year,top.grossing.movies.domestic,run.time
2017,Stars Wars: The Last Jedi,152
2017,Beauty and the Beast,129
2017,Wonder Woman,141
2017,Jumanji: Welcome to the Jungle,119
2017,Guardians of the Galaxy Vol.2,136
2017,Spider.Man: Homecoming,133
2017,It,135
2017,Thor: Ragnarok,130
2017,Despicable Me 3,89
2017,Justice League,120
2017,Logan,137
2017,The fate of the Furious,136
2017,Coco,105
2017,Dunkirk,106
2017,Get Out,104
2018,Black Panther,134
2018,Avengers: Infinity War,149
2018,Incredibles 2,118
2018,Jurassic World: Fallen Kingdom,128
2018,Aquaman,143
2018,Deadpool 2,119
2018,Dr. Seuss' The Grinch,86
2018,Mission: Impossible-Fallout,147
2018,Ant-Man and the Wasp,118
2018,Bohemian Rhapsody,134
2018,A star is Born,136
2018,Solo: A Star Wars Story,135
2018,Vemon,112
2018,Ralph Breaks the Internet,112
2018,Spider-Man: Into The Spider-Verse,117
